Geneid	B03-6	B03-12	B03-16	A05-6	A05-12	A05-16	A07-6	A07-12	A07-16	B09-6	B09-12	B09-16
Glyma.01G124700	49.618	27.428	25.138	14.804	8.175	44.022	26.829	21.694	22.743	27.405	13.464	63.235
Glyma.01G125800	1.626	0.115	4.843	5.795	1.112	0.232	5.728	1.039	0.886	3.942	0.526	0.114
Glyma.01G125900	30.946	43.38	53.496	56.67	78.84	31.546	70.331	66.424	28.138	52.567	57.413	29.573
Glyma.01G126000	15.858	27.315	32.353	15.221	28.372	36.939	20.113	23.401	18.591	9.666	17.552	32.025
Glyma.01G127200	33.04	24.224	3.291	12.804	8.058	89.077	13.525	3.17	0.662	5.252	3.051	45.44
Glyma.01G127400	25.949	25.452	26.997	43.382	47.074	5.778	60.886	51.004	17.225	35.567	39.286	9.742
Glyma.01G127500	0.989	1.043	5.485	3.971	6.798	0.961	6.159	7.853	3.526	3.848	5.46	1.728
Glyma.01G128100	3.862	1.631	0.656	1.957	0.085	12.783	3.916	0.602	0.971	1.351	0.269	4.172
Glyma.01G128200	17.031	2.029	3.473	4.054	3.714	9.843	3.056	4.832	9.211	3.725	2.735	6.632
Glyma.01G129100	5.831	2.454	0.579	1.293	0.663	5.238	4.025	2.53	0.424	1.249	0.863	3.454
Glyma.01G129400	5.032	11.486	23.931	25.206	57.408	5.01	35.143	68.072	93.974	17.749	31.655	3.871
Glyma.01G130000	1.189	6.099	5.759	5.337	20.86	7.444	13.461	22.039	12.501	4.129	19.103	8.319
Glyma.01G130400	0	0.434	6.2	1.181	0.503	0	0.189	0.261	1.152	0.954	7.463	3.857
Glyma.01G131300	1.99	3.909	4.629	8.604	7.45	2.427	9.899	11.081	5.355	8.048	6.64	2.393
Glyma.01G131500	7.223	15.063	6.663	30.23	20.903	21.08	31.88	27.297	19.909	24.624	12.136	11.941
Glyma.01G132000	101.81	77.761	12.033	11.044	4.259	68.492	1.959	2.257	1.753	2.414	2.998	62.433
Glyma.01G132300	12.637	11.242	5.449	9.336	6.789	14.756	7.245	7.148	5.37	6.632	3.939	9.583
Glyma.01G132600	0	0.033	12.513	9.7	2.906	0.087	6.606	4.975	5.197	4.005	7.505	2.351
