Geneid	RB_0d-1	RB_0d-2	RB_0d-3	SB_0d-1	SB_0d-2	SB_0d-3	RB_28d-1	RB_28d-2	RB_28d-3	SB_28d-1	SB_28d-2	SB_28d-3	RB_7d-1	RB_7d-2	RB_7d-3	SB_7d-1	SB_7d-2	SB_7d-3
PLBR_LOCUS4059	0.000	0.000	0.000	0.000	0.000	0.050	1.738	2.920	0.843	50.391	53.169	47.036	0.063	0.000	0.000	0.112	3.435	0.063
PLBR_LOCUS4060	0.051	0.000	0.114	0.000	0.000	0.141	3.568	9.711	1.052	90.587	108.249	91.966	0.059	0.123	0.058	0.628	5.990	0.059
PLBR_LOCUS4061	0.000	0.000	0.000	0.038	0.000	0.032	1.993	3.403	0.312	31.491	30.680	26.927	0.040	0.000	0.000	0.887	1.879	0.080
PLBR_LOCUS4062	0.055	0.000	0.000	0.000	0.000	0.000	1.216	1.626	0.284	20.481	21.411	28.587	0.064	0.066	0.062	0.000	1.735	0.000
PLBR_LOCUS4063	0.000	0.323	0.000	0.000	0.000	0.000	3.258	3.210	0.901	127.333	271.155	131.844	0.000	0.168	0.000	1.004	4.862	0.810
PLBR_LOCUS4064	0.000	0.000	0.122	0.000	0.000	0.000	3.647	5.298	1.135	138.567	164.030	104.318	0.128	0.264	0.000	0.339	6.462	0.128
PLBR_LOCUS4065	0.000	0.000	0.000	0.000	0.000	0.000	0.151	0.067	0.079	10.630	10.176	1.724	0.000	0.147	0.069	0.063	0.000	0.000
PLBR_LOCUS4066	0.000	0.000	0.000	0.000	0.000	0.000	0.078	0.070	0.000	1.257	2.635	1.959	0.074	0.000	0.217	0.000	0.069	0.000
PLBR_LOCUS4067	0.000	0.000	0.000	0.000	0.007	0.000	0.785	1.284	0.161	12.104	14.216	20.021	0.008	0.024	0.030	0.399	1.096	0.031
PLBR_LOCUS4068	0.029	0.000	0.033	0.000	0.000	0.000	0.216	0.353	0.000	6.485	10.527	15.532	0.034	0.035	0.000	0.090	0.670	0.034
PLBR_LOCUS4069	0.039	0.000	0.000	0.043	0.000	0.000	0.239	0.596	0.150	7.364	8.154	9.774	0.000	0.000	0.000	0.040	0.719	0.000
PLBR_LOCUS4070	0.000	0.000	0.000	0.000	0.041	0.000	2.871	3.944	0.544	58.805	78.515	71.099	0.000	0.138	0.304	0.590	4.211	0.044
PLBR_LOCUS4071	0.088	0.103	0.000	0.195	0.000	0.082	6.003	9.244	2.064	240.885	309.901	208.595	0.000	0.320	0.000	1.187	17.117	0.722
PLBR_LOCUS4072	0.000	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.000	0.397	0.363	0.045	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS4073	0.000	0.000	0.000	0.089	0.000	0.000	0.199	0.178	0.052	8.284	13.268	35.385	0.047	0.049	0.000	0.208	0.309	0.047
PLBR_LOCUS4074	0.111	0.086	0.000	0.123	0.000	0.000	0.091	0.000	0.048	23.653	187.205	34.717	0.043	0.045	0.042	0.000	0.000	0.000
PLBR_LOCUS4075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.493	10.907	2.995	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS4076	0.000	0.000	0.040	0.000	0.000	0.000	3.847	0.709	0.093	16.972	16.430	8.468	0.376	0.000	1.428	0.259	0.470	0.042
PLBR_LOCUS4077	0.000	0.049	0.000	0.000	0.000	0.039	0.567	1.655	0.163	30.971	34.173	34.324	0.000	0.000	0.143	0.474	1.325	0.000
PLBR_LOCUS4078	0.038	0.000	0.043	0.000	0.000	0.000	1.412	2.098	0.742	67.083	85.027	55.978	0.000	0.092	0.000	0.197	3.544	0.044
PLBR_LOCUS4079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS4080	0.000	0.000	0.000	0.000	0.000	0.000	0.250	0.556	0.131	20.710	22.894	19.357	0.000	0.061	0.058	0.000	0.442	0.059
PLBR_LOCUS4081	0.000	0.000	0.000	0.000	0.000	0.000	0.832	1.800	0.343	29.361	36.208	27.265	0.000	0.000	0.055	0.199	0.710	0.000
PLBR_LOCUS4082	0.079	0.000	0.000	0.000	0.000	0.000	0.980	1.748	0.309	50.199	80.876	52.855	0.046	0.144	0.045	0.246	2.475	0.139
PLBR_LOCUS4083	0.000	0.000	0.000	0.032	0.000	0.027	2.812	3.522	0.411	36.733	46.521	40.336	0.000	0.070	0.131	0.923	1.987	0.067
PLBR_LOCUS4084	0.000	0.078	0.000	0.111	0.000	0.031	9.510	12.992	2.119	106.016	134.594	124.957	0.039	0.201	0.114	3.340	8.681	0.194
PLBR_LOCUS4085	0.017	0.020	0.000	0.000	0.000	0.000	0.706	1.258	0.112	16.642	15.490	14.723	0.000	0.000	0.000	0.179	0.966	0.020
PLBR_LOCUS4086	0.000	0.000	0.000	0.000	0.000	0.000	2.657	4.870	0.708	62.997	63.519	53.984	0.035	0.037	0.000	0.876	3.547	0.177
PLBR_LOCUS4087	0.000	0.000	0.000	0.000	0.000	0.000	1.106	0.493	0.581	47.108	45.463	31.077	0.000	0.000	0.000	0.000	2.613	0.348
PLBR_LOCUS4088	0.000	0.000	0.000	0.000	0.000	0.043	1.543	3.567	0.540	58.590	50.887	66.636	0.000	0.112	0.000	0.669	3.444	0.108
PLBR_LOCUS4089	0.130	0.000	0.000	0.000	0.000	0.000	0.966	1.650	0.338	21.585	27.237	39.349	0.000	0.079	0.000	0.539	1.284	0.038
PLBR_LOCUS4090	0.000	0.000	0.000	0.041	0.000	0.000	0.771	1.374	0.381	13.984	16.989	15.037	0.000	0.000	0.000	0.455	1.044	0.086
