Geneid	KQGRcry	MGGQcry	PL4mw	PL4snow	QTsnow1	QTsnow2	Qycry	QYice	QYmw	TGLcry	TGLmw
g648	0	229.041244	6.889118	112.014519	21.448817	17.377588	240.210762	214.785079	2443.38861	957.447815	1.240239
g649	49.821525	106.48	1120.08938	190.73684	13.172144	174.485914	904.715977	600.331271	7832.19243	100.691335	121.674463
g650	260.313767	497.602326	197.536913	549.217157	65.894813	460.909756	1240.85297	1830.12532	8005.34314	163.759948	807.772768
g651	28728.2602	29492.2639	61.882509	1313.86381	93.414373	73.791184	2620.80818	708.323559	3691.16148	36329.0272	7.089492
g652	449.769077	1300.60295	544.515223	1523.285	340.133791	2187.22143	2140.20867	3330.40218	8549.34664	483.769649	1948.02396
g653	121.583752	111.499407	0	52.111965	0	17.150668	53.349995	260.697607	1539.27526	411.762617	14.620525
g654	654.440809	1486.88657	84.415893	20890.1204	454.465393	3046.32291	216.565341	15437.6431	3092.79861	4024.3829	31033.811
g655	13.764088	8.171391	32.873026	0	0	58.044841	14.509132	24.527447	1363.85781	38.635811	53.854616
g656	3.353536	0	6.407449	44.19875	0	0	79.185375	127.202631	2031.11026	0	21.916976
g657	2.860193	122.257744	172.142506	376.966172	130.443935	24.812812	154.368722	516.964311	3570.76872	77.074226	10.822114
g658	0	135.264063	6.401875	167.178278	0	0	560.879387	150.12206	2026.85637	7.524152	4.610086
g659	14.283464	313.75004	3025.86386	346.249984	0	72.282132	153.577539	708.137944	2703.42357	80.187398	813.735952
g660	0	2.442644	2755.38287	7.746771	0	2.97448	1.734865	149.780272	5194.65141	0	0
g661	0	39.166828	0	2.070273	0	0	0.927262	27.711541	2767.49465	41.358617	0.756437
g662	139.169074	165.24231	9.757947	110.581647	15.190364	36.921183	69.986387	273.675039	1783.51281	410.000935	16.688754
g663	36.649564	170.107361	25.463514	0	6.606582	183.058163	28.09701	32.230466	1919.01438	202.009813	122.626401
g664	0	1062.96667	0	187.286986	39.448393	41.548833	212.507828	246.471706	1934.37328	632.890911	19.388774
g665	0	138.295467	64.608916	449.211061	0	21.729868	163.176998	894.306117	2911.44511	244.679904	7.754308
g666	0	0	0	0	0	0	0	0	2802.28892	0	0
g667	0	0	15.960142	0	0	0	0	36.150168	2349.81746	0	0
g668	0	0	5.554348	0	0	0	0	35.522127	2351.89397	0	0
g669	43.228681	0	0	15.753263	0	0	7.055788	31.239194	2032.78829	305.314534	11.032202
g670	4.488708	1223.15806	4.288186	177.480093	13.350986	17.306907	232.798654	170.260732	1455.93901	415.79369	7.719967
g671	0	0	12.614992	0	0	0	0	47.061921	2509.08341	0	0
