Geneid	B03-12-1	B03-12-2	B03-12-3	B03-16-2	B03-16-3	B03-16
Glyma.01G214800	17.236	17.663	17.808	8.178	8.919	7.954
Glyma.01G214900	1.257	1.059	1.261	0.170	0.589	0.000
Glyma.01G215100	2.434	2.920	3.085	1.232	1.151	1.551
Glyma.01G215151	1.002	1.493	1.245	0.186	0.000	0.000
Glyma.01G215500	34.187	32.889	34.129	142.851	148.721	154.243
Glyma.01G217400	7.756	7.155	7.154	1.134	1.493	0.959
Glyma.01G217700	6.844	6.229	6.172	0.244	0.318	0.093
Glyma.01G217900	2.896	2.791	3.197	1.372	1.422	1.473
Glyma.01G218100	0.641	0.587	0.675	2.411	2.095	3.198
Glyma.01G218600	6.157	6.341	5.745	1.636	1.900	1.430
Glyma.01G219400	29.855	30.385	29.443	3.867	4.664	4.861
Glyma.01G219502	157.613	153.497	150.974	6.530	8.210	11.064
Glyma.01G220600	0.412	0.363	0.379	4.204	4.405	3.043
Glyma.01G220700	0.032	0.025	0.091	1.107	1.060	1.235
Glyma.01G221400	21.911	24.091	21.955	2.237	2.551	1.842
Glyma.01G221600	0.011	0.000	0.012	7.607	8.629	7.750
Glyma.01G221800	1.815	1.256	1.639	0.367	0.692	0.813
Glyma.01G222200	1.764	2.414	2.146	0.755	0.656	0.634
Glyma.01G222700	8.129	8.366	7.921	3.596	3.874	3.722
Glyma.01G223800	0.511	0.507	0.388	1.943	2.636	2.468
Glyma.01G224000	0.082	0.148	0.066	1.391	1.449	1.432
Glyma.01G224100	0.144	0.096	0.080	4.017	4.398	3.089
Glyma.01G226100	0.119	0.471	0.341	3.100	2.449	1.403
Glyma.01G227500	2.986	3.507	2.789	0.245	0.266	0.385
Glyma.01G228700	3.509	2.500	3.475	1.121	0.792	0.811
Glyma.01G229600	0.059	0.094	0.052	1.585	1.193	1.833
Glyma.01G229800	198.782	189.605	184.211	36.700	35.498	41.114
Glyma.01G230200	9.073	8.291	8.543	32.477	40.074	33.995
Glyma.01G230600	0.207	0.388	0.238	1.869	1.547	2.039
Glyma.01G231700	4.871	5.669	4.760	1.766	1.781	2.232
Glyma.01G231800	29.738	27.355	25.773	4.804	4.770	7.677
Glyma.01G233600	3.536	3.848	3.457	13.574	14.411	17.826
Glyma.01G234000	4.333	4.903	5.493	1.948	1.798	2.424
Glyma.01G234400	0.242	0.137	0.248	0.922	1.357	1.333
Glyma.01G234500	1.317	1.258	1.229	18.538	22.149	17.445
Glyma.01G234600	11.394	12.984	11.645	2.456	1.801	2.671
Glyma.01G235600	40.772	38.658	39.550	12.457	12.672	13.473
Glyma.01G235800	0.528	0.622	0.752	3.329	3.393	2.740
Glyma.01G236300	0.153	0.158	0.095	6.586	6.871	9.039
Glyma.01G238600	0.278	0.388	0.340	1.076	1.445	1.232
Glyma.01G238900	0.112	0.037	0.062	3.770	3.312	2.919
Glyma.01G239500	2.300	1.708	2.245	1.062	0.904	1.084
Glyma.01G240100	1.094	0.933	1.020	0.437	0.485	0.342
Glyma.01G240700	0.746	0.812	0.714	3.053	2.418	2.514
Glyma.01G241100	0.131	0.348	0.269	1.031	1.113	1.365
Glyma.01G241200	2.355	2.371	2.504	10.531	10.996	11.080
Glyma.01G242700	0.211	0.330	0.191	1.025	1.757	1.279
Glyma.01G244132	8.807	10.283	8.031	4.260	2.362	3.900
Glyma.01G244200	6.102	7.033	6.476	3.046	2.002	2.432
Glyma.01G244600	0.138	0.051	0.068	4.137	3.892	3.676
Glyma.01G244700	0.181	0.109	0.145	1.002	0.914	1.385
Glyma.01G245500	3.536	3.927	3.376	17.990	17.715	17.333
Glyma.02G000500	0.760	0.603	0.587	2.087	2.058	2.821
Glyma.02G000700	0.174	0.051	0.224	10.987	10.682	9.811
Glyma.02G001000	25.913	25.085	25.745	4.416	4.318	4.538
Glyma.02G001100	47.119	43.450	45.340	18.565	19.255	13.053
Glyma.02G002900	0.528	0.514	0.590	2.484	2.963	2.681
Glyma.02G003400	0.010	0.000	0.000	3.657	3.191	3.531
Glyma.02G003700	1.369	1.656	1.269	0.000	0.000	0.013
Glyma.02G003800	0.034	0.000	0.057	1.935	1.770	1.494
Glyma.02G005200	2.761	2.583	2.682	13.500	15.274	15.798
Glyma.02G005600	0.175	0.116	0.116	0.519	0.609	1.061
Glyma.02G006600	0.252	0.334	0.167	3.351	2.326	3.192
Glyma.02G006900	0.368	0.158	0.219	1.637	1.205	1.114
Glyma.02G008100	0.259	0.152	0.127	1.197	1.102	0.946
Glyma.02G010300	0.905	0.810	1.050	9.590	10.144	10.436
Glyma.02G010400	0.589	0.467	0.650	3.844	4.859	3.211
Glyma.02G010800	0.000	0.000	0.000	1.860	0.647	1.139
Glyma.02G013200	1.238	1.348	0.882	0.445	0.283	0.212
Glyma.02G013500	0.071	0.139	0.116	1.082	1.069	1.372
Glyma.02G013700	0.851	1.041	0.889	5.784	4.932	5.309
Glyma.02G013900	0.293	0.194	0.388	4.175	4.422	3.774
Glyma.02G015100	1.929	1.634	1.619	5.499	5.707	8.616
Glyma.02G015500	0.030	0.048	0.020	1.237	1.216	1.945
Glyma.02G016500	0.011	0.015	0.025	3.752	4.153	4.587
Glyma.02G017100	19.764	19.730	18.275	1.222	1.629	1.581
Glyma.02G017200	0.890	1.608	1.054	3.930	4.535	6.314
Glyma.02G017800	17.565	16.275	16.307	63.391	55.307	50.207
Glyma.02G018700	2.701	2.243	2.181	1.192	0.674	0.715
Glyma.02G019200	82.408	70.359	75.776	19.235	20.080	12.969
Glyma.02G019300	0.328	0.254	0.256	2.115	1.724	2.208
Glyma.02G019600	114.416	120.657	114.824	47.657	49.107	48.010
Glyma.02G020000	3.534	4.158	3.654	1.499	1.736	1.700
Glyma.02G022200	13.859	14.242	13.020	3.185	2.767	2.281
Glyma.02G022300	6.842	7.702	6.489	2.019	1.735	2.482
Glyma.02G022500	0.541	0.316	0.425	2.055	1.999	2.459
Glyma.02G022700	0.099	0.190	0.182	2.551	2.429	2.120
Glyma.02G023400	20.218	21.157	18.149	6.003	5.864	5.295
Glyma.02G024900	0.145	0.057	0.016	1.310	1.138	1.096
Glyma.02G025500	0.164	0.152	0.217	1.409	1.182	1.389
Glyma.02G026300	37.866	35.584	38.223	1.372	1.865	1.688
Glyma.02G027400	0.367	0.273	0.127	1.566	1.568	1.078
Glyma.02G028000	0.000	0.000	0.018	8.810	9.376	9.576
Glyma.02G029900	0.344	0.420	0.336	1.570	1.654	1.703
Glyma.02G030200	1.930	1.730	1.909	8.104	9.364	9.371
Glyma.02G031300	1.634	1.191	1.559	9.333	10.146	10.200
Glyma.02G032300	0.487	0.483	0.305	4.236	4.965	4.476
Glyma.02G033400	0.130	0.172	0.287	3.180	3.350	3.509
Glyma.02G033600	2.743	2.477	2.821	0.977	0.959	0.958
Glyma.02G035000	29.403	27.883	28.221	3.880	4.194	5.848
Glyma.02G035400	0.061	0.040	0.268	1.759	2.273	1.151
Glyma.02G036100	3.730	3.952	3.587	1.708	1.310	2.109
Glyma.02G037000	0.885	0.618	0.706	5.584	5.994	5.812
Glyma.02G038100	231.220	238.816	235.549	54.928	59.002	62.733
Glyma.02G038601	2.053	1.726	2.205	0.412	0.394	0.294
Glyma.02G038800	11.930	11.716	12.578	5.177	4.565	5.363
Glyma.02G039000	2.761	2.842	2.588	1.247	1.375	1.195
Glyma.02G039700	20.622	19.929	20.443	158.960	160.784	102.939
Glyma.02G039900	0.101	0.213	0.151	2.306	2.150	3.382
Glyma.02G040000	0.603	0.762	0.817	2.279	2.476	3.075
Glyma.02G040100	0.059	0.039	0.146	1.025	0.928	0.579
Glyma.02G041500	2.982	2.977	3.090	0.668	0.623	1.035
Glyma.02G042100	7.461	6.798	7.014	3.221	4.108	3.099
Glyma.02G042500	2.022	1.871	1.974	0.304	0.574	0.343
Glyma.02G043200	0.029	0.078	0.032	1.048	0.892	1.003
Glyma.02G043900	0.284	0.309	0.146	1.266	1.572	1.077
Glyma.02G044300	0.199	0.329	0.164	2.137	2.529	2.896
Glyma.02G045100	9.414	10.486	10.773	0.492	0.306	0.215
Glyma.02G045600	0.092	0.091	0.228	1.194	1.008	1.498
Glyma.02G046200	0.012	0.048	0.054	2.351	2.012	2.437
Glyma.02G046600	3.650	4.234	3.478	1.034	0.996	1.237
Glyma.02G046800	0.588	0.770	0.758	4.687	5.051	5.509
Glyma.02G047000	8.111	8.354	7.588	2.845	3.287	4.606
Glyma.02G047600	438.732	457.284	439.607	166.638	173.656	192.378
Glyma.02G048400	4.019	4.756	3.660	24.755	30.252	24.763
Glyma.02G048600	0.090	0.000	0.083	1.445	1.720	0.885
Glyma.02G048700	0.127	0.024	0.120	7.924	7.329	5.156
Glyma.02G051300	0.000	0.063	0.018	1.204	1.519	1.230
Glyma.02G051700	0.598	0.607	0.697	8.706	7.960	8.294
Glyma.02G053900	1.014	1.434	1.044	0.020	0.035	0.021
