seqID	length
seq1331	4864
seq1332	4914
seq1333	4993
seq1334	4704
seq1335	4938
seq1336	4955
seq1337	4972
seq1338	4965
seq1339	4952
seq1340	4881
seq1341	4942
seq1342	4975
seq1343	4975
seq1344	4951
seq1345	4956
seq1346	4948
seq1347	4963
seq1348	4922
seq1349	4956
seq1350	5049
seq1351	4942
seq1352	4959
seq1353	4967
seq1354	4940
seq1355	4918
seq1356	4976
seq1357	4924
seq1358	4920
seq1359	4930
seq1360	4929
seq1361	4930
seq1362	4956
seq1363	4921
seq1364	4947
seq1365	4970
seq1366	4930
seq1367	4966
seq1368	4900
seq1369	4894
seq1370	4925
seq1371	4925
seq1372	4913
seq1373	4849
seq1374	4916
seq1375	4922
seq1376	4921
seq1377	4944
seq1378	4924
seq1379	4952
seq1380	4939
seq1381	4920
seq1382	4866
seq1383	5031
seq1384	4933
seq1385	4895
seq1386	4960
seq1387	4943
seq1388	4893
seq1389	4916
seq1390	4864
seq1391	4904
seq1392	4912
seq1393	4893
seq1394	4906
seq1395	4937
seq1396	4899
seq1397	4904
seq1398	4901
seq1399	4913
seq1400	4843
seq1401	4858
seq1402	4995
seq1403	4909
seq1404	4939
seq1405	4852
seq1406	4899
seq1407	4909
seq1408	4892
seq1409	4900
seq1410	4876
seq1411	4913
seq1412	4946
seq1413	4885
seq1414	4900
seq1415	4871
seq1416	4842
seq1417	4824
seq1418	4867
seq1419	4885
seq1420	4791
seq1421	4887
seq1422	4894
seq1423	4783
seq1424	4885
seq1425	4886
seq1426	4876
seq1427	4874
seq1428	4903
seq1429	4887
seq1430	4910
seq1431	4708
seq1432	4869
seq1433	4878
seq1434	4880
seq1435	4866
seq1436	4860
seq1437	4892
seq1438	4877
seq1439	4872
seq1440	4870
seq1441	4837
seq1442	4841
seq1443	4857
seq1444	4880
seq1445	4867
seq1446	4875
seq1447	4905
seq1448	4879
seq1449	4873
seq1450	4973
seq1451	4863
seq1452	4861
seq1453	4797
seq1454	4831
seq1455	4814
seq1456	4865
seq1457	4880
seq1458	4852
seq1459	4855
seq1460	4848
seq1461	4866
seq1462	4866
seq1463	4860
seq1464	4900
seq1465	4859
seq1466	4882
seq1467	4857
seq1468	4861
seq1469	5088
seq1470	4898
seq1471	4801
seq1472	4849
seq1473	4863
seq1474	4857
seq1475	4852
seq1476	4848
seq1477	4838
seq1478	4844
seq1479	4843
seq1480	5006
seq1481	4859
seq1482	4797
seq1483	4873
seq1484	4845
seq1485	4882
seq1486	4848
seq1487	4857
seq1488	4823
seq1489	4864
seq1490	4814
seq1491	4846
seq1492	4838
seq1493	4852
seq1494	4888
seq1495	4787
seq1496	4810
seq1497	4805
seq1498	4835
seq1499	4835
seq1500	4836
seq1501	4829
seq1502	4835
seq1503	4853
seq1504	4715
seq1505	4854
seq1506	4778
seq1507	4789
seq1508	4832
seq1509	4797
seq1510	4826
seq1511	4840
seq1512	4762
seq1513	4814
seq1514	4818
seq1515	4695
seq1516	4825
seq1517	4869
seq1518	4764
seq1519	4757
seq1520	4817
seq1521	4817
seq1522	4843
seq1523	4812
seq1524	4805
seq1525	4871
seq1526	4808
seq1527	4832
seq1528	4713
seq1529	4804
seq1530	4858
seq1531	4721
seq1532	4742
seq1533	4804
seq1534	4805
seq1535	4824
seq1536	4800
seq1537	4778
seq1538	4816
seq1539	4871
seq1540	4803
seq1541	4725
seq1542	4802
seq1543	4801
seq1544	4834
seq1545	4819
seq1546	4803
seq1547	4790
seq1548	4811
seq1549	4800
seq1550	4845
seq1551	4890
seq1552	4742
seq1553	4789
seq1554	4793
seq1555	4799
seq1556	4790
seq1557	4787
seq1558	4791
seq1559	4567
seq1560	4786
seq1561	4815
seq1562	4974
seq1563	4788
seq1564	4784
seq1565	4774
