OTU ID	B1-1	B1-2	B1-4	D1-1	D1-4	D1-5	F1-2	F1-3	F1-5	F2-1	F2-2	F2-4	S1-3	S1-4	S1-5
OTU186	5.0	5.0	36.0	22.0	0.0	58.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU187	4.0	0.0	0.0	24.0	44.0	2.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	29.0	18.0
OTU188	1.0	0.0	3.0	12.0	8.0	35.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	24.0	40.0
OTU189	0.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU190	0.0	8.0	0.0	36.0	0.0	25.0	4.0	3.0	0.0	0.0	1.0	0.0	1.0	18.0	27.0
OTU191	15.0	17.0	23.0	63.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
OTU192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	41.0	54.0	0.0	0.0	0.0
OTU193	0.0	0.0	0.0	2.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU194	8.0	0.0	0.0	52.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	29.0	22.0
OTU195	0.0	1.0	7.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU196	1.0	1.0	14.0	100.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU197	17.0	3.0	3.0	28.0	0.0	17.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	36.0
OTU198	5.0	6.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU199	1.0	2.0	45.0	45.0	5.0	15.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU200	0.0	1.0	3.0	0.0	35.0	70.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0
OTU201	0.0	0.0	11.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU202	2.0	0.0	1.0	64.0	0.0	11.0	24.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0
OTU203	21.0	3.0	3.0	64.0	6.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU204	1.0	81.0	13.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	37.0	47.0	0.0	0.0	1.0
OTU206	10.0	5.0	74.0	15.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU207	11.0	2.0	31.0	0.0	32.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0
OTU208	2.0	72.0	23.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
OTU209	10.0	44.0	39.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
OTU210	0.0	0.0	35.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU211	1.0	2.0	3.0	22.0	44.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	25.0
OTU212	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0
OTU213	49.0	4.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
OTU214	2.0	0.0	2.0	16.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	40.0
OTU215	5.0	10.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU216	24.0	59.0	3.0	11.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU217	0.0	0.0	0.0	0.0	51.0	44.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU218	0.0	0.0	1.0	30.0	30.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	23.0
OTU219	26.0	2.0	50.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0
OTU220	1.0	0.0	0.0	15.0	32.0	42.0	0.0	0.0	1.0	3.0	0.0	0.0	2.0	0.0	0.0
OTU221	0.0	0.0	48.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU222	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU223	3.0	17.0	15.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU224	25.0	4.0	52.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
OTU225	14.0	25.0	20.0	9.0	1.0	11.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	7.0
OTU226	1.0	2.0	1.0	30.0	2.0	0.0	0.0	0.0	1.0	3.0	2.0	2.0	3.0	24.0	20.0
OTU227	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU228	3.0	13.0	44.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
OTU229	2.0	4.0	0.0	24.0	26.0	6.0	0.0	4.0	0.0	3.0	0.0	2.0	0.0	7.0	10.0
OTU230	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
OTU231	0.0	0.0	0.0	25.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0
OTU232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	14.0	39.0	0.0	0.0	6.0
OTU233	1.0	80.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU234	0.0	0.0	2.0	6.0	35.0	13.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	21.0	2.0
OTU235	2.0	58.0	10.0	13.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU236	1.0	3.0	3.0	15.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0	37.0	19.0
OTU237	20.0	7.0	13.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU238	0.0	4.0	0.0	0.0	0.0	50.0	0.0	0.0	2.0	1.0	0.0	2.0	6.0	3.0	15.0
OTU239	0.0	0.0	0.0	25.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU240	0.0	1.0	0.0	6.0	33.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0
OTU241	3.0	9.0	16.0	27.0	0.0	1.0	1.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	15.0
OTU242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	25.0	37.0	0.0	0.0	0.0
OTU243	0.0	0.0	0.0	13.0	23.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	16.0	22.0
OTU244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	39.0
OTU245	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
OTU246	21.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
OTU247	0.0	3.0	0.0	13.0	41.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0
OTU248	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
