Geneid	A05-12-1	A05-12-2	A05-12-3	A05-16-2	A05-16-3	A05-16
Glyma.01G018400	40.835	40.380	38.519	22.604	27.304	25.736
Glyma.01G018500	0.000	0.000	0.000	0.000	0.028	0.000
Glyma.01G018600	2.552	1.159	2.019	1.586	1.947	2.272
Glyma.01G018651	0.962	0.940	1.865	1.226	0.693	1.260
Glyma.01G018700	3.227	3.173	2.764	3.563	3.795	3.678
Glyma.01G018800	1.425	0.973	1.405	2.125	1.828	1.234
Glyma.01G018900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G019000	0.126	0.115	0.138	0.721	0.496	0.618
Glyma.01G019100	5.418	5.484	5.965	7.276	5.521	6.244
Glyma.01G019200	2.146	1.736	1.779	1.812	1.784	1.746
Glyma.01G019300	3.292	3.544	3.354	2.481	2.685	2.913
Glyma.01G019400	8.451	9.047	9.635	6.255	5.940	5.956
Glyma.01G019500	1.137	1.151	0.859	0.041	0.117	0.043
Glyma.01G019600	0.515	0.341	0.558	1.126	1.445	1.233
Glyma.01G019700	1.630	1.570	1.824	0.440	0.367	0.596
Glyma.01G019800	4.922	5.363	4.700	142.574	160.878	143.932
Glyma.01G019900	2.330	2.492	2.362	7.708	5.736	7.620
Glyma.01G020000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G020100	0.165	0.143	0.080	0.388	0.284	0.413
Glyma.01G020200	3.608	3.507	3.762	4.453	4.896	4.219
Glyma.01G020300	17.378	16.701	17.031	19.339	18.914	20.069
Glyma.01G020400	0.030	0.073	0.053	0.000	0.000	0.000
Glyma.01G020450	0.000	0.000	0.000	0.586	0.518	0.903
Glyma.01G020500	0.000	0.060	0.022	0.250	0.287	0.256
Glyma.01G020600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G020700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G020800	0.154	0.244	0.072	0.243	0.155	0.226
Glyma.01G020900	6.032	6.328	5.860	0.092	0.310	0.309
Glyma.01G021000	86.700	90.518	90.260	3.176	3.652	3.056
Glyma.01G021100	0.835	1.070	0.857	0.087	0.136	0.179
Glyma.01G021200	0.140	0.099	0.175	0.047	0.047	0.077
Glyma.01G021301	1.694	1.565	1.311	1.559	1.500	1.408
Glyma.01G021400	3.880	3.689	3.242	6.659	7.192	7.150
Glyma.01G021450	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G021500	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G021600	3.720	3.304	3.453	5.273	7.593	5.566
Glyma.01G021700	3.423	2.975	3.177	10.613	10.661	10.155
Glyma.01G021800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G021900	1.494	1.002	1.523	11.542	13.570	11.819
Glyma.01G022100	23.358	24.476	24.909	15.913	15.695	13.934
Glyma.01G022300	0.229	0.187	0.210	0.268	0.404	0.338
Glyma.01G022400	0.369	0.391	0.369	2.103	1.720	1.903
Glyma.01G022500	0.115	0.078	0.124	0.131	0.115	0.067
Glyma.01G022600	9.292	8.797	9.269	4.874	4.751	4.378
Glyma.01G022700	1.221	1.338	1.219	1.145	1.368	1.565
Glyma.01G022800	0.890	0.812	0.895	2.239	2.159	2.580
Glyma.01G022900	0.319	0.290	0.327	0.132	0.047	0.019
Glyma.01G023000	8.454	7.731	7.890	6.688	5.216	7.729
Glyma.01G023100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G023200	5.518	5.628	5.430	3.068	2.677	2.986
Glyma.01G023300	30.883	30.531	29.693	10.445	9.967	10.731
Glyma.01G023400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G023500	1.698	1.636	1.463	6.374	4.743	5.214
Glyma.01G023600	2.018	2.275	1.982	3.019	2.049	2.889
Glyma.01G023700	0.737	0.940	0.564	1.963	1.877	2.261
Glyma.01G023767	0.445	0.487	0.325	0.822	0.816	0.623
Glyma.01G023833	0.000	0.000	0.043	0.031	0.089	0.065
Glyma.01G023900	2.447	2.695	2.518	3.316	3.022	3.053
Glyma.01G024000	16.462	18.776	18.180	18.816	23.116	19.123
Glyma.01G024100	0.012	0.014	0.010	0.000	0.011	0.000
Glyma.01G024200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G024300	0.648	0.535	0.537	3.717	3.280	3.719
Glyma.01G024400	0.127	0.039	0.084	0.323	0.400	0.166
Glyma.01G024500	0.377	0.354	0.460	0.555	0.497	0.627
Glyma.01G024600	6.872	7.257	7.492	9.858	8.032	7.901
Glyma.01G024700	1.173	1.582	1.128	2.059	1.799	2.395
Glyma.01G024800	0.149	0.243	0.230	0.032	0.078	0.098
Glyma.01G024900	0.428	0.339	0.467	0.032	0.000	0.000
Glyma.01G025000	0.882	1.048	0.948	0.262	0.338	0.127
Glyma.01G025100	166.568	167.212	172.863	76.313	107.727	75.797
Glyma.01G025200	2.835	2.162	2.446	4.362	4.516	4.265
Glyma.01G025300	1.057	0.935	0.810	1.097	1.170	1.146
Glyma.01G025400	0.083	0.122	0.132	0.043	0.000	0.022
Glyma.01G025500	2.411	3.061	2.694	2.348	2.122	1.666
Glyma.01G025600	3.775	3.311	3.728	7.040	5.500	7.418
Glyma.01G025800	1.172	1.087	1.246	6.245	4.601	6.132
Glyma.01G025700	0.000	0.416	0.450	4.990	0.767	5.795
Glyma.01G025900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G026000	7.235	7.468	6.701	5.598	5.969	5.542
Glyma.01G026100	28.670	26.602	29.601	21.558	17.364	20.003
Glyma.01G026200	0.056	0.068	0.123	0.303	0.252	0.220
Glyma.01G026400	0.549	0.537	0.591	1.191	1.535	1.209
Glyma.01G026500	3.948	3.687	4.035	13.030	13.275	12.690
Glyma.01G026600	0.252	0.447	0.423	0.088	0.041	0.030
Glyma.01G026700	130.845	133.748	135.631	87.684	76.626	87.817
Glyma.01G026800	4.498	4.417	4.228	2.611	1.939	2.369
Glyma.01G026900	0.030	0.074	0.054	0.155	0.027	0.239
Glyma.01G027000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G027100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G027200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G027300	6.355	5.907	6.177	6.490	5.583	6.615
Glyma.01G027400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G027433	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G027466	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G027500	8.513	8.899	8.665	0.738	0.720	0.641
Glyma.01G027600	0.009	0.046	0.083	0.048	0.034	0.061
Glyma.01G027700	3.841	4.333	4.232	4.252	3.413	3.599
Glyma.01G027800	0.726	0.801	0.664	0.463	0.390	0.494
Glyma.01G027900	0.011	0.000	0.000	0.000	0.000	0.000
