Geneid	log2(fc)	pvalue	FDR
Glyma.02G130600	-2.59837802458866	3.77030187184171e-05	0.000315079947603657
Glyma.02G130701	0.393072167782052	0.424568233564633	0.664052645506392
Glyma.02G130816	-0.153583263417797	1	1
Glyma.02G130832	0.811097323743421	0.401012085585668	0.643264315201387
Glyma.02G130880	0.0472282775092959	0.730879353203468	0.882537227253042
Glyma.02G130896	1.83619910098842	0.0611247526329956	0.173536311816001
Glyma.02G117816	-1.39391420771309	1	1
Glyma.02G118116	1.13750352374994	1	1
Glyma.02G118132	-0.874469117916141	1	1
Glyma.02G118148	-0.506107080009917	0.872701413447264	0.962381347752213
Glyma.02G118164	-1.09034650209625	0.401012085585668	0.643264315201387
Glyma.02G118180	-0.0641303374197159	1	1
Glyma.02G118228	0.355331253154576	0.676546526216261	0.847645783631175
Glyma.02G118260	-0.476438043942987	1	1
Glyma.02G131200	-5.41503749927884	0.0278592375366569	0.0932416724413071
Glyma.02G131300	0.193260430922887	0.841867190594616	0.945577956457218
Glyma.02G131500	-0.583145733019933	0.469617460945854	0.706780150411629
Glyma.02G131600	2.75473782171089	5.9009953161333e-07	7.32815463937943e-06
Glyma.02G131700	-0.0739674866680845	0.820911874297542	0.935091430990023
Glyma.02G131800	-0.220931203082002	0.985958876052342	1
Glyma.02G131900	-0.571394459569273	0.490917106684527	0.725749432347953
Glyma.02G132100	0.435341531330479	0.244597012582149	0.470956713449114
Glyma.02G132200	-0.462146003334333	0.674428058157586	0.846743652469116
Glyma.02G132400	-0.00728022591615803	0.726583501303034	0.879927639233479
Glyma.02G132500	-3.96962635095648	0.516129032258065	0.728565505762079
Glyma.02G132700	4.60486205815886	0.016564952048823	0.0611756379324552
Glyma.02G132900	0.337421839698554	0.320119329595949	0.556600962786126
Glyma.02G133000	1.2639131705573	0.00860622872704892	0.035765071811059
Glyma.02G133100	-0.323284223805224	0.810434314907678	0.92909377079114
Glyma.02G133400	0.233592357979213	0.41819601328055	0.657745328793986
Glyma.02G133500	-1.41136695196082	0.0247139752866588	0.0851633833864427
Glyma.02G133600	-0.0179962449825109	0.733801903724189	0.884380665903882
Glyma.02G133700	3.84645474174654	3.74215513932556e-06	3.96205771868763e-05
Glyma.02G133800	-1.27970459376632	0.0434527796916479	0.134114665814842
Glyma.02G133900	1.17234425639851	0.0118242303854588	0.0464990694519571
Glyma.02G134000	-2.07847251278529	0.00111155850616561	0.00621952394343582
Glyma.02G134100	1.00273324055398	0.0498141955532264	0.147632722629767
Glyma.02G134200	0.392722463378187	0.299631737553861	0.533130529809145
Glyma.02G134300	-0.599837171292103	0.490452612299207	0.725400321328819
Glyma.02G134400	-1.02886775309295	0.119903819161985	0.286101239476881
Glyma.02G134500	-1.40633197144363	0.0318538931618077	0.103843412939467
Glyma.02G134600	0.667532821129163	0.107251655644318	0.263594472122094
Glyma.02G134800	-0.577515215920461	0.478453787935974	0.714340774032264
Glyma.02G134900	1.07234464109907	0.0412608005012433	0.128519444439708
Glyma.02G135000	-3.20945336562895	0.00958703488318766	0.0391048495586615
Glyma.02G135100	-4.70043971814109	0.274193548387097	0.500846919191387
Glyma.02G135400	-1.43635515208974	0.0228901514743881	0.0799822294267665
Glyma.02G135500	0.034035431769033	0.679790381094573	0.849780749610127
Glyma.02G135700	1.64385618977472	0.00193648699086166	0.0100448704599012
Glyma.02G135800	-0.0976120160462945	0.867686590666521	0.959870981845272
Glyma.02G135900	-2.865155622633	7.03775337307784e-06	6.97703733710251e-05
Glyma.02G136000	-4.60567570110967	7.76731806420792e-13	2.89339070656798e-11
Glyma.02G136100	-4.0870125618956	8.5848825723401e-10	1.81873381927097e-08
Glyma.02G136200	-4.06069834713131	1.93875168771108e-10	4.64189283301409e-09
Glyma.02G136300	-1.47312752661551	0.0194702849550521	0.0697109497617768
Glyma.02G136700	-2.15524365160669	0.000408032731688152	0.00259193848787723
Glyma.02G136800	-0.585522938827891	0.469626998876576	0.706780150411629
Glyma.02G136900	2.77897312068778	0.106919235951494	0.262907572818512
Glyma.02G137000	-0.0048723283084796	0.725874202426006	0.879393511285018
Glyma.02G137100	-0.636239270068796	0.415202430223382	0.654672445623119
Glyma.02G137200	-1.05815290390111	0.110443398990067	0.269659732262126
Glyma.02G137300	-0.759796302547092	0.327046192153452	0.564909456912997
Glyma.02G137400	-3.92047045452183	1.13026054778237e-09	2.33581954444843e-08
Glyma.02G137500	-1.2414856813148	0.0868166468316727	0.224349111459279
Glyma.02G137600	-0.215518877922436	0.973966597539816	1
Glyma.02G137700	-0.527099552760207	0.542293873297805	0.751009307586752
Glyma.02G137800	-0.53137000914697	0.542528271177042	0.751124485083314
Glyma.02G137900	5.39843832733955	9.286993402116e-08	1.36066172424775e-06
Glyma.02G138000	0.263896212278048	0.386370950656018	0.628613935041844
Glyma.02G138100	-0.412825779655889	0.682955942524446	0.852307813919575
Glyma.02G138200	-2.00758206438164	0.115616412343033	0.278217552118105
Glyma.02G138400	-0.803845001519217	0.257265533586595	0.488075147137526
Glyma.02G138500	0.227773695534933	0.428070318737463	0.66773114135755
Glyma.02G138600	4.33959026993543	2.41049967224245e-13	9.80452646486896e-12
Glyma.02G138700	-0.273462195791088	0.899429558073496	0.97716200663209
Glyma.02G138800	0.0586798335786084	0.633902643297908	0.82066784945646
Glyma.02G138900	-0.592671996901881	0.472883401397516	0.70974393606466
Glyma.02G139000	-0.0426136877438216	0.801212564238383	0.92471154460303
Glyma.02G139100	-1.8951576341425	0.165448326738649	0.358291397659412
Glyma.02G139500	-0.825679884599778	0.250329777720366	0.478839119940009
Glyma.02G139600	-0.0209036433754917	0.746849325998011	0.892893870315193
Glyma.02G139700	-1.64006710016161	0.00931482830995625	0.03820047666217
Glyma.02G139800	2.09256611873607	0.0164101528013312	0.0611088170919949
Glyma.02G139900	-0.0711751862454086	0.809461487387648	0.928802748905474
Glyma.02G139834	-0.60513015639988	0.463606715520665	0.701855379499755
Glyma.02G139867	-0.419696463536703	0.694487624807402	0.860843407655238
Glyma.02G140100	0.721609603244064	0.0894379144819813	0.229254212699068
Glyma.02G140200	0.504287395361539	0.191439884916822	0.396888177895676
Glyma.02G140300	2.81042775610723	0.000825544895192868	0.00481255469915919
Glyma.02G140400	0.584962500721156	0.61008651331232	0.801898537949463
